idx,dataset,example_id,prompt_id,source,subject,subtopic,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx,explain,explain_a,explain_b,explain_c,explain_d
1093,mbe,mbe_1093,prompt_1093,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,83,,"Deft is charged with the murder of Rob- ert. As part of the prosecutions's case in chief, the prosecutor offers a certi- fied copy of Deft's prior conviction for murdering the President. Deft objects. The evidence is:","Admissible, because it tends to prove Deft's plan.","Admissible, because it is a mate- rial fact.","Inadmissible, because it is im- proper character evidence.","Inadmissible, because its pro- bative value is substantially outweighed by its prejudicial effect.",D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
1094,mbe,mbe_1094,prompt_1094,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,85,,"Lucy sued Fred for injuries suffered by her when Fred collided his blue truck into her MG. At trial, Lucy calls Ricky to the stand. Ricky testifies that he was driving the MG when the accident hap- pened. He further testified that when he pulled onto the tollway, Lucy said to him, ""Watch out for that blue truck - it looks like the driver has been drinking, and he can't seem to keep control over his car."" Fred's counsel objects. The testimony is:","Allow the testimony, because it is trustworthy.","Allow the testimony, because it is relevant to the issue of whether Dave was negligent. 338 EVIDENCE","Inadmissible, as hearsay.","Inadmissible, as improper lay opinion.",A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
1095,mbe,mbe_1095,prompt_1095,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,86,,"While driving within the scope of employment for Petro Corp., Axelrod r„ noC 1,17 Aar 71-t,a 1 rn NA-a uhrd nhcF•ruPri while standing on her front lawn. After quickly dialing for an ambulance from her mobile phone, Maybel walked over to the injured Thelma, and stated, ""It's too bad that truck never slowed down.” In an action by Thelma against Petro Corp., evidence of Maybel's statement is: At trial, the prosecution offers the tape into evidence. The tape shows Tina ancwerina nnectinnc hv nnlire nfficerc an unsteady manner. Defense counsel objects to the introduction of the tape. The court should:","Inadmissible, because it was not authorized by Axelrod's employer.","Inadmissible, because Maybel was not under a state of excite- ment when the statement was made.","Admissible, because Petro Corp. ratified Axelrod's conduct when it hired Axelrod as an employ- ee.","Admissible, as a present sense impression.",C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
1096,mbe,mbe_1096,prompt_1096,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,90,,"While driving home from work, George stopped at Harry's Bar for a drink. After having a few drinks, George asked Joe, the bartender, for another. Joe, worried about George's intoxicated state, told George that he had already had enough to drink. George then became very an- gry, and said to Joe, ""Get me a drink or else."" Joe again refused. 340 EVIDENCE Angered by Joe's response, George jumped off his bar stool and hit Joe. Joe now brings suit against George to recover for his injuries. At trial, Joe's attorney put Joe on the stand. Joe's pro- posed testimony is that George stated to him, ""Get me a drink or else."" George's attorney objects to the testimony. The court should:","Overrule the objection, because it is not hearsay.","Overrule the objection, because it is probative of the declarant's state of mind.","Sustain the objection, because it is hearsay not within any excep- tion.","Sustain the objection, because George could not form the intent to commit a battery while intoxi- cated.",A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
1097,mbe,mbe_1097,prompt_1097,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,91,,"While out on patrol, Officer Speedtrapp pulled over Burt in his new black Trans Am for speeding. He issued Burt a speeding ticket. After laying a founda- tion for admitting the radar reading, Speedtrapp testifies that he was stopped at the corner of 5th and Golden and pointed his radar gun at Burt. The gun rated Burt's speed to be 45 m.p.h. Burt's attorney objects to the testimony. The trial court should:","Not allow the testimony, because the evidentiary foundation was insufficient to establish all ele- ments of a speeding violation.","Not allow the testimony, because it is hearsay.","Allow the testimony, because radar readings are an exception to the hearsay rule.","Allow the testimony, because it is not hearsay.",C,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
1098,mbe,mbe_1098,prompt_1098,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,92,,"Tami sues Jim for fraud, alleging that a Rolls Royce that Jim sold to her was really a Bentley. In order to prove the Rolls Royce was genuine, Jim intro- duces the bill of sale he received at a car auction when he purchased the car. Tami's counsel objects. The bill of sale is:","Admissible, because documents of title are conclusive of rightful ownership.","Admissible, because it is a party admission.","Inadmissible, because it is hear- say not within any exception.","Inadmissible, because it is not the best evidence. 341 EVIDENCE",D,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
1099,mbe,mbe_1099,prompt_1099,Flemings's Multistate Examination Workbook - Volume 2,Criminal Law,,94,,"John is charged with battery on Ponch, a police officer, growing out of his arrest by Ponch. John's defense is self- defense, against excessive force used by Ponch. Through discovery proceedings, John secures the police department's disciplinary records relating to Ponch, citizens Tom, Dick, and Harry, stating that Ponch used excessive force on each of them within six months prior to John's incident with Ponch. John offers the records in evidence. The prosecu- tion objects. The court should rule the disciplinary reports are: Q z","Not allowed, because they are hearsay.","Allowed, because it is proper character evidence under the ""victim's exception.""","Allowed, because of the business record exception.","Allowed, because the report is permissible to prove this char- acter trait of Ponch. 342 EVIDENCE m m 0",A,,,"Elements: Actus reus + Mens rea + Causation + Concurrence | BARRK: Burglary, Arson, Robbery, Rape, Kidnapping | Mens rea: Purpose > Knowledge > Recklessness > Negligence.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
1100,mbe,mbe_1100,prompt_1100,Flemings's Multistate Examination Workbook - Volume 2,Criminal Law,,95,,"Laverne, the widow of Squiggy, sues Shirley in a wrongful death action, aris- ing out of Squiggy's death in 1990. On the issue of damages, Laverne testifies that she and Squiggy had a happy and affectionate marital relationship during their entire marriage. In defense, Shir- ley seeks to introduce evidence of the fact that from 1981 to 1983, Squiggy separated from Laverne and lived with another woman. Laverne objects. The court should: The prosecution then calls Peggy to testify. Peggy testifies that six weeks earlier, when she was with a girl friend, Al and another male picked them up and offered to take them to a party, but instead drove them to a secluded area, where Al and his friend forced the women to submit to sexual intercourse. The women escaped when the men were momentarily distracted. Al objects to Peggy's testimony. The Judge should:","Sustain the objection, since the it is permissible character evi- evidence is self-serving. dence.","Sustain the objection, because of the dead man's statute.","Overrule the objection, because it is proper character evidence.","Overrule the objection, because the evidence is relevant.",B,,,"Elements: Actus reus + Mens rea + Causation + Concurrence | BARRK: Burglary, Arson, Robbery, Rape, Kidnapping | Mens rea: Purpose > Knowledge > Recklessness > Negligence.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
1101,mbe,mbe_1101,prompt_1101,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,97,,"Alex was fired from his job for drunken- ness and incompetency. His supervisor had warned Alex about his conduct, but was fed up when Alex failed to show up for work for three straight days. Alex retaliates by suing for back wages, claiming that his employment contract provided wages at below the mini- mum wage and set forth a ""waiver"" of overtime wages at any rate higher than the regular hourly rate. His employer, Andre Ristorante, disputes Alex's al- legations as to the contractual terms. Alex intends to testify as to the alleged wage rates set forth in his employment contract with his employer. Andre's at- torney objects. The court should:","Admit the testimony, because Alex has personal knowledge of the contents of the contract.","Admit the testimony, because it is a material issue in the action.","Not admit the testimony, because it is hearsay not within any ex- ception.","Not admit the testimony, be- cause the contract is the best evidence.",C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
1102,mbe,mbe_1102,prompt_1102,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,98,,"X is prosecuted for assault with a deadly weapon upon A. A testifies that X struck him with an iron pipe without cause. The prosecution then calls B to the stand, who testifies that he has known and lived next door to A for ten years. The prosecution then asks B: ""What is the reputation as to whether A is an honest and a truthful man?"" X objects. The court should:","Sustain the objection, because opinion evidence of a witness' character is never allowed to at- tack or support the credibility of the witness.","Sustain the objection, because A's character for truthfulness has not yet been attacked.","Overrule the objection, because it is relevant.","Overrule the objection, because it is a collateral matter.",D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
1103,mbe,mbe_1103,prompt_1103,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,99,,"Doug and Jon are arrested for robbing a jewelry store. Jon makes a plea with the district attorney to turn state's evidence against Patty for an unrelated crime. Doug is now on trial for the robbery. William, Doug's roommate, is the sole defense witness. Doug's counsel calls William to the stand, to testify that Doug told him (William) that Jon alone robbed the jewelry store. The prosecu- tion objects to William's testimony. The testimony is: 344 EVIDENCE m m C) Questions 100 - 101 are based on the following facts: Abel sues Cain for damages for personal injuries arising out of a rear-end automobile accident. While testifying, Abel produces a typewritten letter that states, ""My foot slipped off the brake. Don't worry, I will see that all your damages are paid."" The letter is signed ""Cain"", but contains no return ad- dress. Abel is asked by his counsel if he is familiar with Cain's signature. Abel answers, ""No, but I received the letter in the mail two weeks after the accident."" Abel offers the letter into evidence.","Admissible, as a co-conspirator party admission.","Admissible, because it is direct proof that Doug did not commit the robbery.","Inadmissible, as hearsay not within any recognized excep- tion.","Inadmissible, because William's testimony is biased.",B,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
1104,mbe,mbe_1104,prompt_1104,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,100,,Cain objects on the grounds of authen- tication. The letter is:,"Admissible, because the contents of the letter lay the foundation for authentication.","Admissible, because it is direct proof that Cain was at fault.","Inadmissible, because Abel is not familiar with Cain's signature.","Inadmissible, because the letter is self-serving.",C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
1105,mbe,mbe_1105,prompt_1105,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,101,,Suppose that Abel overcomes the au- thenticity objection. Cain then objects on the grounds of hearsay: The letter is:,"Admissible, because it is not- hearsay. 345 EVIDENCE Q","Admissible, because it is direct proof that Cain did cause the ac- cident.","Inadmissible, as hearsay not within any recognized excep-","Admissible, as hearsay that falls within a recognized exception.",D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
1106,mbe,mbe_1106,prompt_1106,Flemings's Multistate Examination Workbook - Volume 2,Criminal Law,,102,,"After being admitted to the Cinema movie theater, Paul slipped on a loose piece of carpeting in the theater lobby. Paul sustained injuries to his back. At trial, Cinema calls Wendy to testify that a week before the accident Paul told her, ""I cannot finish our golf game because of pains in my back."" Paul objects to the testimony. The court should rule the testimony:","Admissible, to prove Mark did rob the 7-11 store.","Admissible, to prove a pertinent trait of Mark's character.","Inadmissible, because character evidence may not be used to prove Mark acted in conformity therewith.","Inadmissible, because character evidence must be proven by reputation or opinion evidence.",B,,,"Elements: Actus reus + Mens rea + Causation + Concurrence | BARRK: Burglary, Arson, Robbery, Rape, Kidnapping | Mens rea: Purpose > Knowledge > Recklessness > Negligence.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
1107,mbe,mbe_1107,prompt_1107,Flemings's Multistate Examination Workbook - Volume 2,Criminal Law,,104,,"While driving home from school, Punkey hit Brandon as he was crossing the intersection. Brandon sued Punkey for the personal injuries he sustained. At trial, Brandon testifies that imme- diately after the accident, Punkey got out of her car, raced over to Brandon, and said, ""Don't worry, I'll pay all your medical bills."" Punkey objects to Brandon's testimony. The testimony is:","Admissible, because it is an ad- mission of liability. 346 EVIDENCE Q 1-1 5 mz 0 m Questions 105 - 106 are based on the following facts: Mike was a famous musician. While play- ing in a night club one night, he met Teena. The couple fell in love, were married, and started a musical career together. However, Mike has a serious drug problem, and as a result, he frequently becomes enraged when when he was unable to come up with lyrics to a new song, he ""blind-sided"" Thomas with his fist. Thomas was","Admissible, because it is an ex- cited utterance.","Inadmissible, because it is hear- say not within any recognized exception.","Inadmissible, because it is an rsff.v to bau mr.rlioal bilk",D,,,"Elements: Actus reus + Mens rea + Causation + Concurrence | BARRK: Burglary, Arson, Robbery, Rape, Kidnapping | Mens rea: Purpose > Knowledge > Recklessness > Negligence.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
1108,mbe,mbe_1108,prompt_1108,Flemings's Multistate Examination Workbook - Volume 2,Criminal Law,,106,,"Assume for this question, that Mike has been arrested for cocaine traffick- ing. After Mike's arrest, he privately spoke to Teena, saying that he was guilty, but that he would ""beat the rap"" and they would make many years of music together. Teena was fed up with Mike's ways and obtained a marital dissolution. She has now been called to testify at Mike's trial concerning Mike's statement to her. Upon ob- jection by Mike's attorney, the court should:","Exclude the evidence, because the statement was a confidential communication.","Admit the evidence, because the testimonial privilege terminates upon dissolution of marriage.","Admit the evidence, because the marital privilege is inapplicable to admissions.","Admit the evidence, because Teena will testify voluntarily.",B,,,"Elements: Actus reus + Mens rea + Causation + Concurrence | BARRK: Burglary, Arson, Robbery, Rape, Kidnapping | Mens rea: Purpose > Knowledge > Recklessness > Negligence.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
1109,mbe,mbe_1109,prompt_1109,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,108,,"Railroad's train was involved in a se- rious collision with Peter. As a result of that collision, Eddie, the train's en- gineer, was slightly injured and Peter died. Peter's heirs bring a wrongful death suit against Railroad. At trial, Railroad seeks to introduce Railroad's accident report filed by Ed- die at the time of the accident. Eddie is no longer an employee of Railroad, and has moved to an unknown loca- tion in Mexico. Peter's heirs object to introduction of the accident report. The report is:","Permit the testimony, because it was a dying declaration.","Permit the testimony, because it is relevant to Valerie's state of mind.","Exclude the testimony, because it is hearsay.","Exclude the testimony, because of the dead man's statute.",C,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
1110,mbe,mbe_1110,prompt_1110,Flemings's Multistate Examination Workbook - Volume 2,Evidence,,110,,"While shopping at Vons, Bert slipped and fell on a piece of candy on the floor of an aisle. Bert sustained serious back injuries and now brings suit against Vons for his injuries.","Admit the testimony, because it is relevant.","Admit the testimony, because it is proper habit evidence.","Exclude the testimony, as specula- tive.","Exclude the testimony, as preju- dicial. END OF QUESTIONS 350 EVIDENCE EVIDENCE ANSWERS A is the correct answer. If a proper foun- dation is laid, the photograph is admis- sible into evidence. This requires that there be someone who can testify that the photograph is a true and accurate representation of the accident scene. Since anyone who was present at the scene when the photograph was taken can testify to the accuracy of the photo- graph, the photographer does not have to be present. B is in",C,,,"Hearsay = TOMA | MIMIC for prior bad acts: Motive, Intent, Mistake, Identity, Common plan | Exceptions: present sense, excited utterance, state of mind.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
1111,mbe,mbe_1111,prompt_1111,Flemings's Multistate Examination Workbook - Volume 2,Real Property,,2,,"Terry and Harry leased a house from Larry, the landlord. The lease was in proper form and contained the follow- ing language: ""Any assignment, subletting or transfer of any rights under this lease without the express written consent of Larry, the landlord, shall be null and void and is pro- hibited."" Despite this clause, after Terry and Har- ry moved into the house, Harry verbally invited Gary to share the house with Terry and himself. Gary agreed to pay his portion of the rent to Larry who did not object to this arrangement. Terry, however, objected to Gary's sharing the dwelling, even if Gary paid a fair share of the rent.",The remainder to Oscar's chil- dren and grandchildren is void because Oscar could have mar- ried a person not yet in being at the time Oscar's will was executed.,"Terry, because the lease contained a ""no assignment"" clause.","Harry, because Terry is not the beneficiary of the ""no assign- ment"" clause in the lease. ""To my surviving widow for life, and then to such of my children who shall reach 30 years of age; however, if any such child should die under the age of 30 and such child shall be survived by a child or children, that child or children shall step up and take his or her parents' share being that share which would have gone to that parent had he or she attained the age of 30 years."" In 1970, at the time of th","Harry, because Terry's claim is essentially a restraint on alien- ation and is disfavored.",C,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
1112,mbe,mbe_1112,prompt_1112,Flemings's Multistate Examination Workbook - Volume 2,Real Property,,4,,"In 1990, Andrea was the owner of Pinkacre. However, in 1990, Mary gave a warranty deed to Pinkacre to Nancy. Nancy promptly recorded that deed. In 1991, Andrea conveyed Pinkacre by warranty deed to Mary who promptly recorded her deed. In 1992, Mary gave a warranty deed to Pinkacre to Orene who promptly recorded her deed. Orene paid fair market value for Pinkacre and was unaware of any prior conveyances of Pinkacre. Both Orene and Nancy claim title to Pinkacre. The court should award judgment to:","Nancy, because her deed is prior in time to Orene's.","Orene, because she was a pur- chaser for value without notice of Nancy's claim.","Either Orene or Nancy, depend- ing on whether Pinkacre is lo- cated in a state which applies estoppel by deed. PROPERTY 385 LLI 0- 0ce In 1970, Orville owned Purpleacre in fee simple absolute. Unbeknownst to Orville, in 1971, Xavier entered Purpleacre under color of title and began to use a square of land on the eastern side of Purpleacre to cut fodder for food for Xavier's sheep. After 14 years of possession of Purpleacre, Xavier gave possession of Purpleacre to Yves. Xavier also sold Yves all",The person who then held title to Purpleacre in fee simple ab- solute.,D,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
1113,mbe,mbe_1113,prompt_1113,Flemings's Multistate Examination Workbook - Volume 2,Real Property,,6,,"After Orville's 1993 conveyance to Norris, title to Purpleacre was in:",Xavier.,Orville.,"Xavier as first taker of the fod- following facts: der. In 1986, Xavier leased Purpleacre from Orville for a term of five years. At the end of the five year term, Xavier remained on Purpleacre for two more years before he quit Purpleacre. In 1993, Orville conveyed Purpleacre by quitclaim deed to Norris. Purpleacre is located in a state where the statute of limitations for adverse possession is ten years.",Norris. Questions 5 — 6 are based on the,A,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
1114,mbe,mbe_1114,prompt_1114,Flemings's Multistate Examination Workbook - Volume 2,Real Property,,7,,"While her daughter, Darla, was away at school, Marie executed and promptly recorded a deed in the proper form to Marie's property, Yellowacre, to Darla. When Marie told Dada what she (Ma- rie) had done, Darla said, ""Mother, I don't want Yellowacre. You take that deed right back. It's yours."" Before any other relevant events, Darla died leaving her entire estate to Butch. Marie then sued Butch to quiet title in Yellowacre. If Marie wins, it will be because:",The presumption of delivery arising from recordation is in- valid unless the grantee has knowledge of the deed at the time of recording. 386 PROPERTY Q,There was no effective ac- ceptance of the delivery of the deed.,Darla's renunciation of Yellow- acre was a constructive convey- ance to Marie.,The court will impose a construc- tive trust to carry out Darla's intent.,B,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
1115,mbe,mbe_1115,prompt_1115,Flemings's Multistate Examination Workbook - Volume 2,Real Property,,9,,"John and Joan, an unmarried couple, owned Goldacre as tenants in common. After five years, they orally agreed that there was no need for them to make wills since the survivor of either of them would own Goldacre solely and outright per this agreement. Three years later, John died intestate. One day later, Joan died, also intestate. John's sole heir is his father, Dave; Joan's sole heir is her aunt, Sophie. Dave claims an inter- est in Goldacre; Sophie claims all of Goldacre. Goldacre is located in a state with the Statute of Frauds, but no other applicable statute. That state does not recognize common law marriages. In the Dave v. Sophie litigation regard- ing the ownership of Goldacre, the court should find that:",Carl has no interest in Silver- acres.,Dave and Sophie each own an undivided interest in Goldacre because the Statute of Frauds applies.,Sophie owns Goldacres solely because John and Joan did not make wills in detrimental reli- ance on the oral agreement. PROPERTY 387,"Sophie owns Goldacre solely be- cause she is entitled to equitable reformation of the title to reflect the oral agreement. Questions 10 —11 are based on the following facts: Orson is the owner of a 1,000 acre tract of land called Greyacres. Orson wishes to de- velop Greyacres into a planned residential community surrounding a man-made lake and marina. He needs to ensure that pro- spective purchasers of lots in Greyacres are guaranteed the following 3 things:",B,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
1116,mbe,mbe_1116,prompt_1116,Flemings's Multistate Examination Workbook - Volume 2,Real Property,,10,,"In the context of the entire scheme of de- velopment, which of the following will offer the best method of implementing Orson's requirement that residents of Greyacres pay money to maintain the lake and marina?",An easement.,A covenant.,A mortgage. 388 PROPERTY Q,A personal contractual obligation by each purchaser.,B,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
1117,mbe,mbe_1117,prompt_1117,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,12,,"Azureacre is owned by Amanda as a life tenant and Bailey as remainderman in fee simple. Amanda and Bailey were conveyed Azureacre subject to a mort- gage of $100,000, payable in $10,000 installments of the principal over ten years at ten percent interest per year payable with each installment of the principal. Azureacre produces $50,000 in net income per year after paying all expenses except the mortgage. Amanda and Bailey each dispute who should pay the mortgage principal. If Bailey seeks legal advice as to his obligations for the mortgage principal of Azureacre, he should be told:",He could compel Amanda to pay the mortgage principal because the income from Azureacre is more than adequate to meet this obligation.,Amanda could compel Bailey to pay his share of the principal because the discharge of the mortgage enhances his remain- der.,"He could not be held person- ally liable for the mortgage, but Bailey's remainder could be lost if the mortgage is not paid.",Bailey's only protection lies in instituting an action for partition to compel the sale of Amanda's life estate to obtain the value of his remainder. PROPERTY 389 ce 0 0 ce,C,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
1118,mbe,mbe_1118,prompt_1118,Flemings's Multistate Examination Workbook - Volume 2,Criminal Procedure,,14,,"In May, Tina moved into and began paying a monthly rental of $200 for an apartment in a ten-unit apartment building owned by Lulu. The hallways and stairwells of the building needed repair. Lulu refused to undertake those repairs, even after Tina requested she do so. Therefore, in late August, Tina met with the other tenants and discussed with them the tenants' legal options against Lulu for failure to make repairs. When Tina paid September's rent, Lulu notified Tina that beginning in October, Tina's rent would be $400 per month. When Tina protested that all of the other tenants were paying $200 per month, Lulu gave Tina the statutorily-required 30-day notice to vacate the apartment. If Tina prevails in a lawsuit contesting the termination of her tenancy, the most likely reason for her victory is that:","Aaron, because Otto's convey- ance created a fee simple sub- ject to executory limitation in Aaron.",The rent increase from $200 to $400 is unconscionable and will shock the conscience of the court. 390 PROPERTY,The fact that Tina would have to pay double the rental rate charged to other tenants violates the implied agreement that rent- als for similar apartments be comparable.,The doctrine of retaliatory evic- tion is part of the law of this jurisdiction.,D,,,"4th ESCAPIST: Exigent, Search incident, Consent, Auto, Plain view, Inventory, Stop & frisk, Terry | Miranda = custody + interrogation.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
1119,mbe,mbe_1119,prompt_1119,Flemings's Multistate Examination Workbook - Volume 2,Real Property,,16,,"011ie owned Blackacre, a one-acre tract of land, in fee simple absolute. How- ever, Paul was in adverse possession of Blackacre. During Paul's adverse possession, 011ie gave Agnes oral per- mission to use the south forty feet along Blackacre as a road to reach Whiteacre, a tract of Agnes' land. During all times relevant to this question, Agnes regu- larly used Blackacre as a road to reach Whiteacre from the public highway. A few years later, Paul quit possession of Blackacre without gaining title by adverse possession. Agnes continued to use the south forty feet along Black- acre from the time of her original use for a sufficiently long period of time to gain an easement by prescription. All of this use was accomplished without further communication between Agnes and 011ie. 011ie then blocked the road on the south forty feet along Blackacre and has refused to permit Agnes' further use. Agnes then sued to determine her continued use of the road. In that law- suit, Agnes should: Q 0 m","Win, because her use was ad- verse to Paul and once adversely begun, it continued in that man- ner until some affirmative show- ing of a change.","Win, because Agnes made no attempt to renew 011ie's permis- sion after Paul quit possession of Blackacre. PROPERTY 391 Questions 17 —18 are based on the following facts: Two sisters, Alice and Betty, contributed one-half of the purchase price of Yellow- acres, a 50-acre tract of land. They held Yel- lowacres together as joint tenants. Five years after the original purchase, Alice proposed that the two sisters develop Yellowacres as a retail shopping center. Betty did not want to do so. She orall","Lose, because her use was per- missive.","Lose, because there is no evi- dence that she continued to adversely use Blackacre for the required period after Paul quit Blackacre.",C,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.
1120,mbe,mbe_1120,prompt_1120,Flemings's Multistate Examination Workbook - Volume 2,Real Property,,17,,"In an appropriate lawsuit to determine Sam and Betty's respective interests in Yellowacres, if Sam is adjudicated to be the owner of the western 25 acres of Yellowacres, the most likely reason for the judgment will be that:",Betty's actions during Alice's life has estopped her from asserting title to the western one-half of Yellowacres.,"The joint tenancy was terminated by the oral agreement of Alice and Betty at the time it was made. 392 PROPERTY ""CP 0 m",Betty had a fiduciary obligation to Sam by reason of her be- ing named executrix of Alice's will.,The close blood relationship be- tween Alice and Betty removes the necessity to comply with the Statute of Frauds.,A,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
1121,mbe,mbe_1121,prompt_1121,Flemings's Multistate Examination Workbook - Volume 2,Contracts,,18,,"In an appropriate lawsuit to determine Sam and Betty's respective interests in Yellowacres, if Betty is adjudicated to be the sole owner of Yellowacres, the most likely reason for the judgment will be that:",The record title of the joint ten- ancy to Yellowacres can only be changed by a duly recorded instrument.,The Statute of Frauds prevents the proof of Betty and Alice's oral agreement.,Alice could not unilaterally sever the joint tenancy.,Betty's nomination as executrix of Alice's estate does not prevent her from asserting her claim against Sam.,B,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
